Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name,Processed On
09 Mar 26,1417.16,400500600,,TRANSFER CREDIT,ONLINE T7448085522 Linked Acc Trns LEE JL,1418.31,Internal transfers,,09 Mar 26
27 Feb 26,1.06,400500600,,INTEREST PAID,INTEREST,1.15,Interest,,27 Feb 26
16 Feb 26,0.00,400500600,,MISCELLANEOUS CREDIT,AS AT 13 FEB 2026 YOUR INTEREST RATE IS 1.40%,0.09,Fees,,16 Feb 26
16 Feb 26,-2450.71,400500600,,AUTOMATIC DRAWING,TPL27626 The Optical Supe Jordan Lee,0.09,Transfers out,,16 Feb 26
10 Feb 26,-375.00,400500600,,TRANSFER DEBIT,ONLINE D0810822610 Linked Acc Trns LEE JL,2450.80,Internal transfers,,10 Feb 26
10 Feb 26,18.00,400500600,,TRANSFER CREDIT,ONLINE H2674043037 Linked Acc Trns LEE JL,2825.80,Internal transfers,,10 Feb 26
05 Feb 26,2600.00,400500600,,TRANSFER CREDIT,ONLINE R6623569427 Linked Acc Trns LEE JL,2807.80,Internal transfers,,05 Feb 26
30 Jan 26,1.73,400500600,,INTEREST PAID,INTEREST,207.80,Interest,,30 Jan 26
15 Jan 26,-4514.44,400500600,,AUTOMATIC DRAWING,TPL77413 The Optical Supe Jordan Lee,206.07,Transfers out,,15 Jan 26
05 Jan 26,4663.13,400500600,,TRANSFER CREDIT,ONLINE A1182076348 Linked Acc Trns LEE JL,4720.51,Internal transfers,,05 Jan 26
31 Dec 25,1.86,400500600,,INTEREST PAID,INTEREST,57.38,Interest,,31 Dec 25
15 Dec 25,-3556.00,400500600,,AUTOMATIC DRAWING,TPL98196 The Optical Supe Jordan Lee,55.52,Transfers out,,15 Dec 25
11 Dec 25,-1073.00,400500600,,TRANSFER DEBIT,ONLINE W0336535167 Linked Acc Trns LEE JL,3611.52,Internal transfers,,11 Dec 25
08 Dec 25,1073.00,400500600,,INTER-BANK CREDIT,ATO60000000000I006 ATO Jordan Lee,4684.52,Refund,,08 Dec 25
05 Dec 25,100.00,400500600,,TRANSFER CREDIT,ONLINE P2309754826 Linked Acc Trns LEE JL,3611.52,Internal transfers,,05 Dec 25
01 Dec 25,3500.00,400500600,,TRANSFER CREDIT,ONLINE X1648877564 Linked Acc Trns LEE JL,3511.52,Internal transfers,,01 Dec 25
28 Nov 25,1.72,400500600,,INTEREST PAID,INTEREST,11.52,Interest,,28 Nov 25
17 Nov 25,-4174.09,400500600,,AUTOMATIC DRAWING,TPL04695 The Optical Supe Jordan Lee,9.80,Transfers out,,17 Nov 25
13 Nov 25,0.00,400500600,,MISCELLANEOUS CREDIT,INTEREST RATE BROUGHT FORWARD IS 1.25%,4183.89,Loans,,13 Nov 25
05 Nov 25,4174.09,400500600,,TRANSFER CREDIT,ONLINE Q3043382692 OCT Rent LEE JL,4183.89,Internal transfers,,05 Nov 25
31 Oct 25,0.30,400500600,,INTEREST PAID,INTEREST,9.80,Interest,,31 Oct 25
20 Oct 25,-2806.70,400500600,,AUTOMATIC DRAWING,TPL97315 The Optical Supe Jordan Lee,9.50,Transfers out,,20 Oct 25
17 Oct 25,2806.70,400500600,,TRANSFER CREDIT,ONLINE G0319604431 Linked Acc Trns LEE JL,2816.20,Internal transfers,,17 Oct 25
16 Oct 25,2806.70,400500600,,REVERSAL CREDIT,REVERSAL OF DEBIT OPTICAL SUPERSTORE PTPL02235,9.50,Other income,,16 Oct 25
15 Oct 25,-2806.70,400500600,,AUTOMATIC DRAWING,TPL97315 The Optical Supe Jordan Lee,-2797.20,Transfers out,,15 Oct 25
30 Sep 25,8.62,400500600,,INTEREST PAID,INTEREST,9.50,Interest,,30 Sep 25
18 Sep 25,-1237.00,400500600,,TRANSFER DEBIT,ONLINE Z5474955323 Linked Acc Trns LEE JL,0.88,Internal transfers,,18 Sep 25
15 Sep 25,0.00,400500600,,MISCELLANEOUS CREDIT,AS AT 12 SEP 2025 YOUR INTEREST RATE IS 1.25%,1237.88,Fees,,15 Sep 25
15 Sep 25,-3804.38,400500600,,AUTOMATIC DRAWING,TPL46607 The Optical Supe Jordan Lee,1237.88,Transfers out,,15 Sep 25
05 Sep 25,1067.00,400500600,,INTER-BANK CREDIT,ATO60000000000I006 ATO Jordan Lee,5042.26,Refund,,05 Sep 25
01 Sep 25,-1000.00,400500600,,TRANSFER DEBIT,ONLINE R3936178337 Linked Acc Trns LEE JL,3975.26,Internal transfers,,01 Sep 25
29 Aug 25,4000.00,400500600,,TRANSFER CREDIT,ONLINE T8850837346 Linked Acc Trns LEE JL,4975.26,Internal transfers,,29 Aug 25
29 Aug 25,8.93,400500600,,INTEREST PAID,INTEREST,975.26,Interest,,29 Aug 25
18 Aug 25,0.00,400500600,,MISCELLANEOUS CREDIT,WILL RECEIVE THE STANDARD VARIABLE RATE OF 1.25%,966.33,Fees,,18 Aug 25
18 Aug 25,0.00,400500600,,MISCELLANEOUS CREDIT,"AMOUNTS UP TO $20,000,000. AMOUNTS ABOVE $20,000,000",966.33,Fees,,18 Aug 25
18 Aug 25,0.00,400500600,,MISCELLANEOUS CREDIT,AS AT 15 AUG 2025 YOUR INTEREST RATE IS 4.40% FOR,966.33,Fees,,18 Aug 25
15 Aug 25,-2854.22,400500600,,AUTOMATIC DRAWING,TPL90386 The Optical Supe Jordan Lee,966.33,Transfers out,,15 Aug 25
31 Jul 25,12.98,400500600,,INTEREST PAID,INTEREST,3820.55,Interest,,31 Jul 25
22 Jul 25,694.80,400500600,,TRANSFER CREDIT,ONLINE Y2244734382 Linked Acc Trns LEE JL,3807.57,Internal transfers,,22 Jul 25
21 Jul 25,2694.45,400500600,,TRANSFER CREDIT,ONLINE H2547477115 Linked Acc Trns LEE JL,3112.77,Internal transfers,,21 Jul 25
15 Jul 25,-2982.50,400500600,,AUTOMATIC DRAWING,TPL02543 The Optical Supe Jordan Lee,418.32,Transfers out,,15 Jul 25
10 Jul 25,-200.00,400500600,,TRANSFER DEBIT,ONLINE R7415096236 Linked Acc Trns LEE JL,3400.82,Internal transfers,,10 Jul 25
09 Jul 25,570.95,400500600,,TRANSFER CREDIT,ONLINE Z3034744520 Linked Acc Trns LEE JL,3600.82,Internal transfers,,09 Jul 25
08 Jul 25,-4000.00,400500600,,TRANSFER DEBIT,ONLINE T9646881638 Linked Acc Trns LEE JL,3029.87,Internal transfers,,08 Jul 25
08 Jul 25,529.35,400500600,,TRANSFER CREDIT,ONLINE Y9953505251 Linked Acc Trns LEE JL,7029.87,Internal transfers,,08 Jul 25
07 Jul 25,1026.00,400500600,,TRANSFER CREDIT,ONLINE S6140389344 Linked Acc Trns LEE JL,6500.52,Internal transfers,,07 Jul 25
07 Jul 25,393.95,400500600,,TRANSFER CREDIT,ONLINE P2568038536 Linked Acc Trns LEE JL,5474.52,Internal transfers,,07 Jul 25
03 Jul 25,-200.00,400500600,,TRANSFER DEBIT,ONLINE L5088737572 Linked Acc Trns LEE JL,5080.57,Internal transfers,,03 Jul 25
02 Jul 25,2160.50,400500600,,TRANSFER CREDIT,ONLINE G8264575869 Linked Acc Trns LEE JL,5280.57,Internal transfers,,02 Jul 25
