Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name,Processed On
20 May 26,661.95,100200300,,INTER-BANK CREDIT,MC BBS162 5550001X MCARE BENEFITS JORDAN LEE,4502.86,Refund,Medicare,20 May 26
19 May 26,364.20,100200300,,INTER-BANK CREDIT,MC BBS387 5550001X MCARE BENEFITS JORDAN LEE,3840.91,Refund,Medicare,19 May 26
18 May 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE S0867143063,3476.71,Transfers out,,18 May 26
18 May 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE Z8362197661,3976.71,Transfers out,,18 May 26
18 May 26,827.10,100200300,,INTER-BANK CREDIT,MC BBS183 5550001X MCARE BENEFITS JORDAN LEE,4476.71,Refund,Medicare,18 May 26
15 May 26,-600.00,100200300,,TRANSFER DEBIT,ONLINE Z8692942026 Linked Acc Trns LEE JL,3649.61,Internal transfers,,15 May 26
15 May 26,463.65,100200300,,INTER-BANK CREDIT,MC BBS458 5550001X MCARE BENEFITS JORDAN LEE,4249.61,Refund,Medicare,15 May 26
14 May 26,-600.00,100200300,,TRANSFER DEBIT,JORDAN LEE S5549727552,3785.96,Transfers out,,14 May 26
14 May 26,595.80,100200300,,INTER-BANK CREDIT,MC BBS998 5550001X MCARE BENEFITS JORDAN LEE,4385.96,Refund,Medicare,14 May 26
13 May 26,-200.00,100200300,,TRANSFER DEBIT,JORDAN LEE F4457130531,3790.16,Transfers out,,13 May 26
12 May 26,661.80,100200300,,INTER-BANK CREDIT,MC BBS739 5550001X MCARE BENEFITS JORDAN LEE,3990.16,Refund,Medicare,12 May 26
11 May 26,-600.00,100200300,,TRANSFER DEBIT,JORDAN LEE H0191683078,3328.36,Transfers out,,11 May 26
11 May 26,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE K0826025512,3928.36,Transfers out,,11 May 26
11 May 26,959.85,100200300,,INTER-BANK CREDIT,MC BBS633 5550001X MCARE BENEFITS JORDAN LEE,4228.36,Refund,Medicare,11 May 26
08 May 26,297.90,100200300,,INTER-BANK CREDIT,MC BBS076 5550001X MCARE BENEFITS JORDAN LEE,3268.51,Refund,Medicare,08 May 26
07 May 26,-200.00,100200300,,TRANSFER DEBIT,JORDAN LEE Y2640692877,2970.61,Transfers out,,07 May 26
07 May 26,595.80,100200300,,INTER-BANK CREDIT,MC BBS491 5550001X MCARE BENEFITS JORDAN LEE,3170.61,Refund,Medicare,07 May 26
06 May 26,298.05,100200300,,INTER-BANK CREDIT,MC BBS452 5550001X MCARE BENEFITS JORDAN LEE,2574.81,Refund,Medicare,06 May 26
05 May 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE Q2031320598,2276.76,Transfers out,,05 May 26
05 May 26,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE S3887314736,2776.76,Transfers out,,05 May 26
05 May 26,562.95,100200300,,INTER-BANK CREDIT,MC BBS371 5550001X MCARE BENEFITS JORDAN LEE,3076.76,Refund,Medicare,05 May 26
04 May 26,231.75,100200300,,INTER-BANK CREDIT,MC BBS697 5550001X MCARE BENEFITS JORDAN LEE,2513.81,Refund,Medicare,04 May 26
01 May 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE C3963265303,2282.06,Transfers out,,01 May 26
01 May 26,629.10,100200300,,INTER-BANK CREDIT,MC BBS722 5550001X MCARE BENEFITS JORDAN LEE,2782.06,Refund,Medicare,01 May 26
30 Apr 26,562.50,100200300,,INTER-BANK CREDIT,MC BBS513 5550001X MCARE BENEFITS JORDAN LEE,2152.96,Refund,Medicare,30 Apr 26
29 Apr 26,364.05,100200300,,INTER-BANK CREDIT,MC BBS997 5550001X MCARE BENEFITS JORDAN LEE,1590.46,Refund,Medicare,29 Apr 26
28 Apr 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE G5023038883,1226.41,Transfers out,,28 Apr 26
28 Apr 26,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE E8154776995,1726.41,Transfers out,,28 Apr 26
27 Apr 26,661.65,100200300,,INTER-BANK CREDIT,MC BBS557 5550001X MCARE BENEFITS JORDAN LEE,2026.41,Refund,Medicare,27 Apr 26
24 Apr 26,82.70,100200300,,INTER-BANK CREDIT,DV BBE994 5550001X VTA BENEFITS JORDAN LEE,1364.76,Government payments,Department of Veterans' Affairs,24 Apr 26
24 Apr 26,496.35,100200300,,INTER-BANK CREDIT,MC BBS294 5550001X MCARE BENEFITS JORDAN LEE,1282.06,Refund,Medicare,24 Apr 26
23 Apr 26,297.90,100200300,,INTER-BANK CREDIT,MC BBS358 5550001X MCARE BENEFITS JORDAN LEE,785.71,Refund,Medicare,23 Apr 26
22 Apr 26,-600.00,100200300,,TRANSFER DEBIT,JORDAN LEE R5938757048,487.81,Transfers out,,22 Apr 26
22 Apr 26,628.50,100200300,,INTER-BANK CREDIT,MC BBS388 5550001X MCARE BENEFITS JORDAN LEE,1087.81,Refund,Medicare,22 Apr 26
21 Apr 26,-3100.00,100200300,,TRANSFER DEBIT,JORDAN LEE D9254411168 tax,459.31,Transfers out,,21 Apr 26
21 Apr 26,794.10,100200300,,INTER-BANK CREDIT,MC BBS307 5550001X MCARE BENEFITS JORDAN LEE,3559.31,Refund,Medicare,21 Apr 26
20 Apr 26,1254.35,100200300,,INTER-BANK CREDIT,MC BBS468 5550001X MCARE BENEFITS JORDAN LEE,2765.21,Refund,Medicare,20 Apr 26
17 Apr 26,41.45,100200300,,INTER-BANK CREDIT,DV BBE227 5550001X VTA BENEFITS JORDAN LEE,1510.86,Government payments,Department of Veterans' Affairs,17 Apr 26
17 Apr 26,794.10,100200300,,INTER-BANK CREDIT,MC BBS255 5550001X MCARE BENEFITS JORDAN LEE,1469.41,Refund,Medicare,17 Apr 26
16 Apr 26,-1000.00,100200300,,TRANSFER DEBIT,JORDAN LEE V1056633583,675.31,Transfers out,,16 Apr 26
15 Apr 26,728.10,100200300,,INTER-BANK CREDIT,MC BBS214 5550001X MCARE BENEFITS JORDAN LEE,1675.31,Refund,Medicare,15 Apr 26
14 Apr 26,82.70,100200300,,INTER-BANK CREDIT,DV BBE660 5550001X VTA BENEFITS JORDAN LEE,947.21,Government payments,Department of Veterans' Affairs,14 Apr 26
14 Apr 26,628.95,100200300,,INTER-BANK CREDIT,MC BBS852 5550001X MCARE BENEFITS JORDAN LEE,864.51,Refund,Medicare,14 Apr 26
13 Apr 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE X3751161350,235.56,Transfers out,,13 Apr 26
13 Apr 26,231.75,100200300,,INTER-BANK CREDIT,MC BBS501 5550001X MCARE BENEFITS JORDAN LEE,735.56,Refund,Medicare,13 Apr 26
10 Apr 26,331.20,100200300,,INTER-BANK CREDIT,MC BBS186 5550001X MCARE BENEFITS JORDAN LEE,503.81,Refund,Medicare,10 Apr 26
09 Apr 26,-1000.00,100200300,,TRANSFER DEBIT,CASEY LEE OFFSET P2296896354,172.61,Transfers out,,09 Apr 26
09 Apr 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE X3160719726,1172.61,Transfers out,,09 Apr 26
09 Apr 26,1092.30,100200300,,INTER-BANK CREDIT,MC BBS687 5550001X MCARE BENEFITS JORDAN LEE,1672.61,Refund,Medicare,09 Apr 26
08 Apr 26,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE R2125285665,580.31,Transfers out,,08 Apr 26
07 Apr 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE P4440143244,880.31,Transfers out,,07 Apr 26
07 Apr 26,-4000.00,100200300,,TRANSFER DEBIT,CASEY LEE OFFSET N8039973421,1380.31,Transfers out,,07 Apr 26
07 Apr 26,-1000.00,100200300,,TRANSFER DEBIT,CASEY LEE OFFSET K2669035685,5380.31,Transfers out,,07 Apr 26
07 Apr 26,200.00,100200300,,TRANSFER CREDIT,ONLINE K0773172779 Linked Acc Trns LEE JL,6380.31,Internal transfers,,07 Apr 26
07 Apr 26,331.05,100200300,,INTER-BANK CREDIT,MC BBS206 5550001X MCARE BENEFITS JORDAN LEE,6180.31,Refund,Medicare,07 Apr 26
02 Apr 26,595.65,100200300,,INTER-BANK CREDIT,MC BBS257 5550001X MCARE BENEFITS JORDAN LEE,5849.26,Refund,Medicare,02 Apr 26
01 Apr 26,691.85,100200300,,INTER-BANK CREDIT,MC BBS935 5550001X MCARE BENEFITS JORDAN LEE,5253.61,Refund,Medicare,01 Apr 26
31 Mar 26,463.65,100200300,,INTER-BANK CREDIT,MC BBS138 5550001X MCARE BENEFITS JORDAN LEE,4561.76,Refund,Medicare,31 Mar 26
30 Mar 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE L0176184900,4098.11,Transfers out,,30 Mar 26
30 Mar 26,-100.00,100200300,,TRANSFER DEBIT,JORDAN LEE H9779376875,4598.11,Transfers out,,30 Mar 26
30 Mar 26,595.50,100200300,,INTER-BANK CREDIT,MC BBS257 5550001X MCARE BENEFITS JORDAN LEE,4698.11,Refund,Medicare,30 Mar 26
27 Mar 26,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE A7355308879,4102.61,Transfers out,,27 Mar 26
27 Mar 26,397.20,100200300,,INTER-BANK CREDIT,MC BBS165 5550001X MCARE BENEFITS JORDAN LEE,4402.61,Refund,Medicare,27 Mar 26
26 Mar 26,463.20,100200300,,INTER-BANK CREDIT,MC BBS304 5550001X MCARE BENEFITS JORDAN LEE,4005.41,Refund,Medicare,26 Mar 26
24 Mar 26,694.95,100200300,,INTER-BANK CREDIT,MC BBS395 5550001X MCARE BENEFITS JORDAN LEE,3542.21,Refund,Medicare,24 Mar 26
23 Mar 26,-1000.00,100200300,,TRANSFER DEBIT,JORDAN LEE L4104211015,2847.26,Transfers out,,23 Mar 26
23 Mar 26,82.70,100200300,,INTER-BANK CREDIT,DV BBE343 5550001X VTA BENEFITS JORDAN LEE,3847.26,Government payments,Department of Veterans' Affairs,23 Mar 26
23 Mar 26,893.40,100200300,,INTER-BANK CREDIT,MC BBS916 5550001X MCARE BENEFITS JORDAN LEE,3764.56,Refund,Medicare,23 Mar 26
20 Mar 26,562.80,100200300,,INTER-BANK CREDIT,MC BBS521 5550001X MCARE BENEFITS JORDAN LEE,2871.16,Refund,Medicare,20 Mar 26
19 Mar 26,231.75,100200300,,INTER-BANK CREDIT,MC BBS734 5550001X MCARE BENEFITS JORDAN LEE,2308.36,Refund,Medicare,19 Mar 26
18 Mar 26,-700.00,100200300,,TRANSFER DEBIT,JORDAN LEE R7382263824,2076.61,Transfers out,,18 Mar 26
18 Mar 26,592.55,100200300,,INTER-BANK CREDIT,MC BBS781 5550001X MCARE BENEFITS JORDAN LEE,2776.61,Refund,Medicare,18 Mar 26
17 Mar 26,364.20,100200300,,INTER-BANK CREDIT,MC BBS357 5550001X MCARE BENEFITS JORDAN LEE,2184.06,Refund,Medicare,17 Mar 26
16 Mar 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE V8589392961,1819.86,Transfers out,,16 Mar 26
16 Mar 26,891.05,100200300,,INTER-BANK CREDIT,MC BBS224 5550001X MCARE BENEFITS JORDAN LEE,2319.86,Refund,Medicare,16 Mar 26
12 Mar 26,264.75,100200300,,INTER-BANK CREDIT,MC BBS257 5550001X MCARE BENEFITS JORDAN LEE,1428.81,Refund,Medicare,12 Mar 26
11 Mar 26,-200.00,100200300,,TRANSFER DEBIT,JORDAN LEE R6940151512,1164.06,Transfers out,,11 Mar 26
11 Mar 26,463.50,100200300,,INTER-BANK CREDIT,MC BBS825 5550001X MCARE BENEFITS JORDAN LEE,1364.06,Refund,Medicare,11 Mar 26
10 Mar 26,-494.00,100200300,,TRANSFER DEBIT,JORDAN LEE A7193732041,900.56,Transfers out,,10 Mar 26
10 Mar 26,1125.75,100200300,,INTER-BANK CREDIT,MC BBS666 5550001X MCARE BENEFITS JORDAN LEE,1394.56,Refund,Medicare,10 Mar 26
09 Mar 26,-2000.00,100200300,,TRANSFER DEBIT,JORDAN LEE V7630004301,268.81,Transfers out,,09 Mar 26
09 Mar 26,-1417.16,100200300,,TRANSFER DEBIT,ONLINE T7448085522 Linked Acc Trns LEE JL,2268.81,Internal transfers,,09 Mar 26
06 Mar 26,41.45,100200300,,INTER-BANK CREDIT,DV BBE986 5550001X VTA BENEFITS JORDAN LEE,3685.97,Government payments,Department of Veterans' Affairs,06 Mar 26
06 Mar 26,695.10,100200300,,INTER-BANK CREDIT,MC BBS771 5550001X MCARE BENEFITS JORDAN LEE,3644.52,Refund,Medicare,06 Mar 26
04 Mar 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE R2129248310,2949.42,Transfers out,,04 Mar 26
04 Mar 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE C0624491279,3449.42,Transfers out,,04 Mar 26
04 Mar 26,595.50,100200300,,INTER-BANK CREDIT,MC BBS115 5550001X MCARE BENEFITS JORDAN LEE,3949.42,Refund,Medicare,04 Mar 26
03 Mar 26,592.85,100200300,,INTER-BANK CREDIT,MC BBS702 5550001X MCARE BENEFITS JORDAN LEE,3353.92,Refund,Medicare,03 Mar 26
02 Mar 26,-494.00,100200300,,TRANSFER DEBIT,JORDAN LEE C5165967014,2761.07,Transfers out,,02 Mar 26
02 Mar 26,463.35,100200300,,INTER-BANK CREDIT,MC BBS481 5550001X MCARE BENEFITS JORDAN LEE,3255.07,Refund,Medicare,02 Mar 26
27 Feb 26,1453.40,100200300,,INTER-BANK CREDIT,MC BBS984 5550001X MCARE BENEFITS JORDAN LEE,2791.72,Refund,Medicare,27 Feb 26
24 Feb 26,-980.00,100200300,,TRANSFER DEBIT,JORDAN LEE J5340219978,1338.32,Transfers out,,24 Feb 26
24 Feb 26,794.25,100200300,,INTER-BANK CREDIT,MC BBS614 5550001X MCARE BENEFITS JORDAN LEE,2318.32,Refund,Medicare,24 Feb 26
23 Feb 26,1218.55,100200300,,INTER-BANK CREDIT,MC BBS681 5550001X MCARE BENEFITS JORDAN LEE,1524.07,Refund,Medicare,23 Feb 26
20 Feb 26,-663.00,100200300,,TRANSFER DEBIT,JORDAN LEE X1056074532,305.52,Transfers out,,20 Feb 26
20 Feb 26,41.45,100200300,,INTER-BANK CREDIT,DV BBE134 5550001X VTA BENEFITS JORDAN LEE,968.52,Government payments,Department of Veterans' Affairs,20 Feb 26
20 Feb 26,926.70,100200300,,INTER-BANK CREDIT,MC BBS766 5550001X MCARE BENEFITS JORDAN LEE,927.07,Refund,Medicare,20 Feb 26
10 Feb 26,-360.00,100200300,,TRANSFER DEBIT,JORDAN LEE A0286422619,0.37,Transfers out,,10 Feb 26
10 Feb 26,-18.00,100200300,,TRANSFER DEBIT,ONLINE H2674043037 Linked Acc Trns LEE JL,360.37,Internal transfers,,10 Feb 26
10 Feb 26,375.00,100200300,,TRANSFER CREDIT,ONLINE D0810822610 Linked Acc Trns LEE JL,378.37,Internal transfers,,10 Feb 26
09 Feb 26,-550.00,100200300,,TRANSFER DEBIT,JORDAN LEE T7686821272,3.37,Transfers out,,09 Feb 26
05 Feb 26,-2600.00,100200300,,TRANSFER DEBIT,ONLINE R6623569427 Linked Acc Trns LEE JL,553.37,Internal transfers,,05 Feb 26
03 Feb 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE L4096304530,3153.37,Transfers out,,03 Feb 26
22 Jan 26,827.25,100200300,,INTER-BANK CREDIT,MC BBS923 5550001X MCARE BENEFITS JORDAN LEE,3653.37,Refund,Medicare,22 Jan 26
21 Jan 26,727.95,100200300,,INTER-BANK CREDIT,MC BBS031 5550001X MCARE BENEFITS JORDAN LEE,2826.12,Refund,Medicare,21 Jan 26
20 Jan 26,694.95,100200300,,INTER-BANK CREDIT,MC BBS005 5550001X MCARE BENEFITS JORDAN LEE,2098.17,Refund,Medicare,20 Jan 26
19 Jan 26,-200.00,100200300,,TRANSFER DEBIT,JORDAN LEE Y9973356750,1403.22,Transfers out,,19 Jan 26
19 Jan 26,-5000.00,100200300,,TRANSFER DEBIT,CASEY LEE OFFSET X4102740994,1603.22,Transfers out,,19 Jan 26
19 Jan 26,893.55,100200300,,INTER-BANK CREDIT,MC BBS165 5550001X MCARE BENEFITS JORDAN LEE,6603.22,Refund,Medicare,19 Jan 26
16 Jan 26,496.80,100200300,,INTER-BANK CREDIT,MC BBS611 5550001X MCARE BENEFITS JORDAN LEE,5709.67,Refund,Medicare,16 Jan 26
15 Jan 26,559.55,100200300,,INTER-BANK CREDIT,MC BBS721 5550001X MCARE BENEFITS JORDAN LEE,5212.87,Refund,Medicare,15 Jan 26
14 Jan 26,595.50,100200300,,INTER-BANK CREDIT,MC BBS723 5550001X MCARE BENEFITS JORDAN LEE,4653.32,Refund,Medicare,14 Jan 26
13 Jan 26,-800.00,100200300,,TRANSFER DEBIT,JORDAN LEE X4668907099,4057.82,Transfers out,,13 Jan 26
13 Jan 26,562.65,100200300,,INTER-BANK CREDIT,MC BBS489 5550001X MCARE BENEFITS JORDAN LEE,4857.82,Refund,Medicare,13 Jan 26
12 Jan 26,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE M1589694049,4295.17,Transfers out,,12 Jan 26
12 Jan 26,-100.00,100200300,,TRANSFER DEBIT,JORDAN LEE C9106087528,4595.17,Transfers out,,12 Jan 26
12 Jan 26,991.85,100200300,,INTER-BANK CREDIT,MC BBS431 5550001X MCARE BENEFITS JORDAN LEE,4695.17,Refund,Medicare,12 Jan 26
09 Jan 26,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE V5976766718,3703.32,Transfers out,,09 Jan 26
09 Jan 26,-500.00,100200300,,TRANSFER DEBIT,CASEY LEE OFFSET F0429303372,4203.32,Transfers out,,09 Jan 26
09 Jan 26,662.10,100200300,,INTER-BANK CREDIT,MC BBS789 5550001X MCARE BENEFITS JORDAN LEE,4703.32,Refund,Medicare,09 Jan 26
08 Jan 26,-400.00,100200300,,TRANSFER DEBIT,JORDAN LEE B5677533204,4041.22,Transfers out,,08 Jan 26
08 Jan 26,628.65,100200300,,INTER-BANK CREDIT,MC BBS760 5550001X MCARE BENEFITS JORDAN LEE,4441.22,Refund,Medicare,08 Jan 26
07 Jan 26,124.15,100200300,,INTER-BANK CREDIT,DV BBE372 5550001X VTA BENEFITS JORDAN LEE,3812.57,Government payments,Department of Veterans' Affairs,07 Jan 26
07 Jan 26,231.90,100200300,,INTER-BANK CREDIT,MC BBS179 5550001X MCARE BENEFITS JORDAN LEE,3688.42,Refund,Medicare,07 Jan 26
06 Jan 26,463.50,100200300,,INTER-BANK CREDIT,MC BBS011 5550001X MCARE BENEFITS JORDAN LEE,3456.52,Refund,Medicare,06 Jan 26
05 Jan 26,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE Z7092948973,2993.02,Transfers out,,05 Jan 26
05 Jan 26,-4663.13,100200300,,TRANSFER DEBIT,ONLINE A1182076348 Linked Acc Trns LEE JL,3293.02,Internal transfers,,05 Jan 26
05 Jan 26,397.05,100200300,,INTER-BANK CREDIT,MC BBS016 5550001X MCARE BENEFITS JORDAN LEE,7956.15,Refund,Medicare,05 Jan 26
02 Jan 26,562.65,100200300,,INTER-BANK CREDIT,MC BBS376 5550001X MCARE BENEFITS JORDAN LEE,7559.10,Refund,Medicare,02 Jan 26
31 Dec 25,959.00,100200300,,INTER-BANK CREDIT,MC BBS281 5550001X MCARE BENEFITS JORDAN LEE,6996.45,Refund,Medicare,31 Dec 25
30 Dec 25,662.40,100200300,,INTER-BANK CREDIT,MC BBS120 5550001X MCARE BENEFITS JORDAN LEE,6037.45,Refund,Medicare,30 Dec 25
29 Dec 25,-400.00,100200300,,TRANSFER DEBIT,JORDAN LEE G3126258972,5375.05,Transfers out,,29 Dec 25
29 Dec 25,-150.00,100200300,,TRANSFER DEBIT,JORDAN LEE V5999029483,5775.05,Transfers out,,29 Dec 25
29 Dec 25,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE E2086438229,5925.05,Transfers out,,29 Dec 25
24 Dec 25,992.55,100200300,,INTER-BANK CREDIT,MC BBS716 5550001X MCARE BENEFITS JORDAN LEE,6225.05,Refund,Medicare,24 Dec 25
23 Dec 25,1025.70,100200300,,INTER-BANK CREDIT,MC BBS215 5550001X MCARE BENEFITS JORDAN LEE,5232.50,Refund,Medicare,23 Dec 25
22 Dec 25,-1500.00,100200300,,TRANSFER DEBIT,JORDAN LEE G1812826763,4206.80,Transfers out,,22 Dec 25
22 Dec 25,82.70,100200300,,INTER-BANK CREDIT,DV BBE791 5550001X VTA BENEFITS JORDAN LEE,5706.80,Government payments,Department of Veterans' Affairs,22 Dec 25
22 Dec 25,1290.45,100200300,,INTER-BANK CREDIT,MC BBS435 5550001X MCARE BENEFITS JORDAN LEE,5624.10,Refund,Medicare,22 Dec 25
19 Dec 25,827.25,100200300,,INTER-BANK CREDIT,MC BBS627 5550001X MCARE BENEFITS JORDAN LEE,4333.65,Refund,Medicare,19 Dec 25
18 Dec 25,661.80,100200300,,INTER-BANK CREDIT,MC BBS946 5550001X MCARE BENEFITS JORDAN LEE,3506.40,Refund,Medicare,18 Dec 25
17 Dec 25,430.35,100200300,,INTER-BANK CREDIT,MC BBS882 5550001X MCARE BENEFITS JORDAN LEE,2844.60,Refund,Medicare,17 Dec 25
